ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;2021
4310462;0;0;0;5;1;0;0;0;11;0;0;0;0;0;1996
4310504;3;3;0;106;4;3;2;0;37;12;7;21;0;0;8036
4310538;0;0;0;52;9;3;3;1;52;2;1;0;0;0;5549
4310553;0;0;0;36;20;1;0;0;22;6;1;1;0;0;3224
4310579;0;0;0;10;0;0;0;2;2;3;0;0;0;0;2219
4310603;4;4;1;402;49;13;57;1;173;23;29;32;1;0;36263
4310652;0;0;0;16;1;3;1;0;10;7;6;1;0;0;2840
4310702;0;0;0;25;2;0;0;0;12;7;1;1;0;0;3518
4310751;0;0;1;15;2;0;0;0;11;2;1;0;1;0;2079
4310801;1;1;0;87;0;13;9;0;203;1;45;16;0;0;23925
4310850;0;0;0;18;1;1;0;2;22;5;1;0;0;0;4072
4310876;0;0;0;12;6;0;0;0;3;2;0;0;0;0;2616
4310900;2;2;0;9;0;1;0;0;17;2;11;0;0;0;3807
4311007;1;1;0;339;44;17;22;1;84;12;43;50;0;0;27574
4311106;0;0;0;57;11;1;6;1;45;1;23;13;0;0;10461
4311122;1;1;0;30;13;0;2;0;22;6;6;2;0;0;4114
4311130;1;1;0;28;11;0;0;0;9;2;0;0;0;0;3510
4311155;0;0;0;35;12;3;3;0;38;9;2;1;0;1;7788
4311205;2;2;1;219;18;4;16;1;119;17;29;25;1;0;18892
4311239;0;0;0;9;0;1;0;0;11;0;0;0;0;0;2610
4311270;0;0;0;12;1;0;0;0;6;1;1;0;0;0;1986
4311304;7;8;0;373;25;14;21;2;227;43;104;70;0;0;27970
4311254;1;2;0;10;4;1;3;0;9;2;0;0;0;0;5746
4311403;17;18;0;1071;6;74;77;10;1025;52;124;178;0;0;94929
4311429;0;0;0;3;0;1;1;0;9;3;1;1;0;0;2649
4311502;0;0;0;44;21;3;2;0;15;3;1;5;0;0;7204
4311601;0;0;0;27;6;1;1;0;39;6;1;3;0;0;5491
4311627;0;0;0;18;0;1;0;1;30;3;9;4;0;0;6301
4311643;0;0;0;7;0;0;0;0;8;2;1;0;0;0;1784
4311718;0;0;0;39;15;0;0;0;23;2;0;0;0;0;4599
4311700;0;0;0;125;6;3;3;0;9;4;4;1;0;0;5799
4311734;0;0;0;2;0;0;0;0;7;0;0;2;0;0;3332
4311759;0;0;0;34;11;3;0;0;40;3;8;7;0;1;6637
4311775;3;3;1;60;16;7;5;2;31;8;3;4;1;0;7014
4311791;0;0;0;7;0;2;0;0;21;0;4;0;0;0;2748
4311809;3;3;0;403;24;49;25;1;439;30;54;24;0;0;44785
4311908;0;0;0;31;1;1;3;0;15;2;1;1;0;0;4718
4311981;1;1;0;45;10;2;6;0;18;1;2;4;0;0;4076
4312005;1;1;0;5;1;0;0;0;5;2;1;1;0;0;2098
4312054;0;0;0;26;2;1;0;0;14;6;3;1;0;0;4290
4312104;0;0;0;50;14;2;1;0;26;4;3;1;0;0;4695
4312138;0;0;0;43;13;2;2;0;13;3;2;1;0;0;2643
4312153;0;0;0;21;0;0;2;0;32;6;2;0;0;0;4895
4312179;0;0;0;5;1;0;1;0;7;3;0;0;0;0;1881
4312203;0;0;0;27;0;0;0;0;24;3;1;2;0;0;4629
4312252;0;0;1;47;8;3;3;0;42;8;30;14;1;0;7960
4312302;0;0;0;58;8;6;6;0;20;5;2;0;0;0;5448
4312351;0;0;0;1;0;0;0;0;5;1;0;0;0;0;1617
4312377;0;0;0;28;4;0;0;0;13;3;0;0;0;0;3217
4312385;0;0;0;18;0;0;0;0;12;2;1;0;0;0;2967
4312401;4;5;0;616;8;54;56;3;469;17;281;123;0;0;67857
4312427;0;0;0;7;0;0;1;0;7;0;0;0;0;0;2954
4312443;0;0;0;6;0;0;0;0;9;1;2;1;0;0;3409
4312450;0;0;0;60;8;2;0;0;20;1;0;2;0;0;6519
4312476;0;0;0;36;0;1;4;0;44;0;4;2;0;0;6634
4312500;1;1;0;108;14;3;3;1;77;2;17;17;0;0;12582
4312609;0;0;0;49;0;3;1;0;25;4;9;8;0;0;5174
4312617;0;0;0;20;5;3;1;0;10;2;0;1;0;0;3002
4312625;0;0;0;14;1;1;0;0;6;2;1;2;0;0;1992
4312658;2;2;0;122;1;3;10;0;182;12;29;24;0;0;18866
4312674;0;0;0;15;4;0;1;0;8;0;1;0;0;0;1981
4312708;1;1;0;69;5;4;5;0;81;14;21;17;0;0;12747
4312757;0;0;0;18;1;1;14;0;19;3;0;1;0;0;3509
4312807;0;0;0;27;0;3;3;0;30;4;21;8;0;0;5595
4312906;0;0;0;43;3;8;2;1;44;13;17;16;0;0;9296
4312955;0;0;0;10;0;1;0;0;14;1;0;0;0;0;2115
4313003;0;0;0;4;0;1;0;0;15;0;1;1;0;0;3234
4313011;0;0;0;2;0;1;0;0;11;2;0;0;0;0;3140
4313037;0;0;0;18;1;0;0;0;20;0;0;3;0;0;5057
4313060;1;1;0;102;1;12;11;1;153;9;57;17;0;0;20899
4313086;0;0;0;12;0;0;1;0;20;0;0;0;0;0;2657
4313102;0;0;0;40;16;0;2;0;31;3;1;1;0;0;6043
4313201;1;1;0;100;1;4;1;0;135;11;56;9;0;0;23343
4313300;3;3;0;123;3;16;8;1;207;19;66;79;0;0;27266
4313334;0;0;0;7;1;1;0;0;6;3;1;0;0;0;2398
4313359;0;0;0;12;2;0;1;0;23;0;13;0;0;0;3914
4313375;5;5;0;286;14;22;31;9;340;26;49;10;0;0;29181
4313490;0;0;0;11;3;5;1;1;8;6;0;1;0;0;4288
4313391;0;0;0;23;1;1;0;0;8;5;5;2;0;0;3990
4313409;25;26;1;2956;11;276;742;161;2158;121;300;255;1;2;254190
4313425;1;1;0;15;1;1;1;0;5;4;0;0;0;0;3583
4313441;0;0;0;9;2;1;1;0;12;1;1;1;0;0;2433
4313466;0;0;0;5;0;0;0;0;5;0;1;0;0;0;1909
4313508;7;8;0;537;23;27;39;17;454;27;97;175;0;0;47141
4313607;0;0;0;46;12;0;4;0;13;1;1;1;0;0;3939
4313656;1;1;0;174;16;4;16;0;81;10;11;14;0;0;12339
4313706;7;7;0;326;16;23;21;7;163;37;54;16;0;0;35311
4313805;2;2;0;34;5;3;2;0;20;5;15;2;0;0;7587
4313904;4;4;0;264;6;21;17;3;359;19;95;26;0;0;44664
4313953;0;0;0;68;7;4;1;2;64;3;7;10;0;2;9997
4314001;0;0;0;37;1;3;1;0;63;4;5;3;0;0;7659
4314027;0;0;0;31;0;2;1;0;15;0;1;4;0;0;7538
4314035;1;1;0;24;0;0;0;0;29;0;1;2;0;0;4588
4314050;1;1;0;329;8;49;58;13;352;24;226;49;0;0;57289
4314068;1;1;0;24;9;1;2;0;13;2;0;0;0;0;4653
4314076;1;1;0;62;15;3;6;0;15;6;8;2;0;0;6591
4314100;46;48;1;2424;8;418;471;31;1834;148;331;261;1;1;210339
4314134;0;0;0;17;2;1;1;0;5;3;1;1;0;0;2245
4314159;1;1;0;26;2;4;6;0;45;2;22;7;0;0;9303
4314175;0;0;0;25;17;0;1;0;6;0;0;1;0;0;1964
4314209;1;1;0;46;6;4;6;0;37;4;7;4;0;0;7920
4314308;0;0;0;57;2;1;4;0;24;4;3;5;0;0;4093
4314407;22;22;2;3371;63;193;1168;48;2030;114;163;367;2;2;342221
4314423;0;0;0;41;0;1;1;0;29;2;9;2;0;0;5882
4314456;1;1;0;17;3;3;1;0;15;3;1;1;0;0;2940
4314464;0;0;0;20;7;1;1;0;9;2;5;1;0;0;2161
4314472;0;0;0;35;5;1;0;0;17;6;0;0;0;0;3906
4314498;1;1;0;13;0;2;0;0;9;0;0;7;0;0;4860
4314506;2;2;0;109;26;2;1;0;81;4;4;2;0;0;11380
4314548;0;0;0;16;0;0;1;0;0;3;2;0;0;0;3275
4314555;0;0;0;11;6;1;0;0;11;6;0;0;0;0;2504
4314605;4;5;0;198;35;7;6;1;109;10;12;4;0;0;18290
4314704;5;5;0;90;2;6;2;0;45;14;25;4;0;0;10608
4314753;0;0;0;8;0;1;0;0;12;0;0;0;0;0;2313
4314779;0;0;0;23;1;0;0;1;26;3;3;1;0;0;3779
4314787;0;0;0;7;0;0;0;0;1;1;0;0;0;0;1806
4314803;3;3;0;361;17;19;48;21;365;11;59;17;0;0;36535
4314902;234;261;7;29207;29;1634;14804;1394;16938;714;2381;3175;7;2;1444714
4315008;0;0;0;13;0;2;1;0;7;8;0;2;0;0;5001
4315057;0;0;0;16;3;3;0;0;5;3;5;1;0;0;2487
4315073;0;0;0;8;1;1;0;0;6;0;0;0;0;0;1608
4315107;0;0;0;41;11;3;1;0;38;12;13;6;0;0;10539
4315131;0;0;0;11;0;2;1;0;9;0;3;0;0;0;1789
4315149;0;0;0;13;0;2;0;0;15;0;3;0;0;0;3144
4315156;0;0;0;39;6;3;2;0;14;12;4;0;0;0;5808
4315172;0;0;0;2;1;1;0;0;5;4;1;2;0;0;2082
4315206;0;0;0;9;1;0;0;0;5;3;7;0;0;0;4028
4315305;1;1;0;201;35;7;19;2;104;14;42;16;0;0;22967
4315313;0;0;0;7;1;1;0;0;4;0;2;0;0;0;1667
4315321;0;0;0;26;14;0;3;0;12;3;1;0;0;0;2721
4315354;0;0;0;19;2;0;2;0;5;4;0;1;0;0;4301
4315404;3;3;0;41;5;4;1;2;23;16;2;2;0;1;11129
4315453;0;0;0;10;1;0;1;0;6;1;0;0;0;0;2234
4315503;2;2;0;120;14;2;7;0;82;6;11;14;0;0;15571
4315552;0;0;0;11;3;2;1;0;12;6;0;1;0;0;3146
4315602;35;35;1;2415;78;81;808;13;1126;159;284;432;1;1;208227
4315701;7;9;0;379;34;21;25;2;158;23;90;50;0;0;38075
4315750;0;0;0;24;1;2;0;0;25;1;2;1;0;0;4421
4315800;1;1;0;68;2;2;4;2;83;3;14;7;0;0;12758
4315909;0;0;0;34;9;3;1;0;30;4;18;3;0;0;6790
4315958;1;1;0;13;5;0;2;0;10;5;0;0;0;0;2551
4316006;4;5;0;97;6;7;19;6;239;4;47;29;0;0;22108
4316105;2;2;0;46;2;5;3;0;44;5;7;15;0;0;10358
4316204;2;2;0;15;3;2;0;0;10;5;6;2;0;0;5559
4316303;1;1;0;23;6;1;1;0;21;0;4;8;0;0;6875
4316402;8;8;0;319;41;13;34;1;197;28;36;91;0;0;38837
4316428;0;0;0;10;3;1;0;0;7;2;0;1;0;0;2649
4316436;1;1;0;8;0;0;4;1;23;5;2;0;0;0;2922
4316451;1;1;0;153;8;5;6;0;81;16;17;15;0;0;11223
4316477;0;0;0;1;0;0;1;0;10;0;0;0;0;0;2988
4316501;0;0;0;28;0;2;5;1;62;7;26;10;0;0;7603
4316600;2;2;0;60;2;9;2;2;75;4;18;6;0;0;16984
4316709;1;1;0;65;5;1;3;2;88;3;20;11;0;0;8429
4316733;0;0;0;17;2;2;0;1;6;2;0;1;0;0;1739
4316758;1;1;0;39;2;1;1;0;38;1;1;2;0;0;7056
4316808;11;12;0;1326;9;114;117;5;1160;61;110;199;0;0;133651
4316972;0;0;0;20;6;1;1;0;9;2;2;0;0;0;2606
4316907;50;54;0;4026;84;186;622;19;2883;233;717;512;0;1;282493
4316956;0;0;0;20;0;0;0;0;10;0;4;0;0;0;6666
4317202;13;14;0;680;8;32;36;0;428;39;139;184;0;0;79739
4317251;0;0;0;13;2;0;0;0;7;0;1;1;0;0;1749
4317301;14;15;1;609;56;11;32;2;135;23;25;36;1;0;30723
4317004;3;3;0;68;11;2;2;0;27;5;2;4;0;0;7819
4317103;16;16;0;1076;162;48;124;6;574;67;126;64;0;1;78211
4317400;3;3;0;345;38;6;14;0;409;18;138;125;0;0;49464
4317509;15;16;0;1266;47;70;130;2;572;74;187;163;0;0;83075
4317608;6;6;0;318;15;24;50;10;261;13;54;48;0;0;43838
4317707;0;0;0;62;10;0;3;0;55;10;28;6;0;0;10875
4317558;0;0;0;15;2;0;1;0;10;0;1;0;0;0;2324
4317756;0;0;0;20;3;1;0;0;14;1;0;0;0;0;2170
4317806;3;3;0;120;1;9;12;0;63;4;31;20;0;0;15076
4317905;0;0;0;23;2;3;0;0;58;2;4;2;0;0;15293
4317954;0;0;0;9;1;0;0;0;13;3;2;0;0;0;2503
4318002;3;3;0;547;66;16;42;3;404;32;100;94;0;0;59235
4318051;0;0;0;8;1;2;0;0;11;0;0;0;0;0;3111
4318101;2;2;0;86;13;3;4;1;65;3;17;31;0;0;17521
4318200;3;4;0;240;28;6;11;3;131;12;45;14;0;0;20954
4318309;5;6;0;927;80;15;48;1;251;57;87;189;0;0;60918
4318408;0;0;1;187;9;2;20;0;134;8;66;36;1;0;22706
