municipios;ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;total_vitimas_crimes_violentos
acegua;4300034;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
agua santa;4300059;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
agudo;4300109;0;0;0;18;0;1;0;0;3;0;0;0;0;0;0
ajuricaba;4300208;0;0;0;3;0;0;0;0;4;0;0;0;0;0;0
alecrim;4300307;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
alegrete;4300406;0;0;0;99;11;3;3;0;38;3;10;3;0;0;0
alegria;4300455;0;0;0;2;1;1;0;0;1;0;0;0;0;0;0
almirante tamandare do sul;4300471;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
alpestre;4300505;0;0;0;7;1;0;0;0;1;2;0;0;0;0;0
alto alegre;4300554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
alto feliz;4300570;0;0;0;2;0;0;0;0;4;0;1;0;0;0;0
alvorada;4300604;3;3;0;144;1;18;138;24;154;11;27;44;0;0;3
amaral ferrador;4300638;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0
ametista do sul;4300646;0;0;0;7;1;0;0;0;5;0;2;0;0;0;0
andre da rocha;4300661;0;0;0;1;1;0;0;0;3;0;0;0;0;0;0
anta gorda;4300703;0;0;0;3;0;1;0;0;1;0;1;0;0;0;0
antonio prado;4300802;0;0;0;6;1;0;0;0;6;0;2;0;0;0;0
arambare;4300851;0;0;0;6;2;0;0;0;0;1;0;0;0;0;0
ararica;4300877;0;0;0;10;0;2;1;0;5;1;4;0;0;0;0
aratiba;4300901;0;0;0;1;0;0;0;0;3;0;1;0;0;0;0
arroio do meio;4301008;0;0;0;9;0;0;2;0;13;2;13;3;0;0;0
arroio do padre;4301073;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
arroio do sal;4301057;1;1;1;29;0;1;1;0;8;0;1;2;1;0;2
arroio do tigre;4301206;0;0;0;11;4;0;0;0;8;1;1;0;0;0;0
arroio dos ratos;4301107;0;0;0;17;1;0;0;0;6;2;3;4;0;0;0
arroio grande;4301305;0;0;0;16;7;0;0;0;3;0;6;3;0;0;0
arvorezinha;4301404;0;0;0;7;1;0;0;0;0;1;1;0;0;0;0
augusto pestana;4301503;0;0;0;2;0;0;0;0;5;0;0;0;0;0;0
aurea;4301552;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
bage;4301602;4;4;0;92;7;6;25;0;89;4;15;12;0;0;4
balneario pinhal;4301636;0;0;0;13;0;0;5;0;8;0;1;1;0;0;0
barao;4301651;0;0;0;1;0;0;1;0;9;0;0;0;0;0;0
barao de cotegipe;4301701;0;0;0;2;0;1;0;0;1;0;0;3;0;0;0
barao do triunfo;4301750;0;0;0;3;1;0;1;0;1;1;0;0;0;0;0
barra do guarita;4301859;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
barra do quarai;4301875;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
barra do ribeiro;4301909;0;0;0;6;0;0;0;1;11;0;7;0;0;0;0
barra do rio azul;4301925;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
barra funda;4301958;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
barracao;4301800;0;0;0;2;0;0;0;0;3;0;1;0;0;0;0
barros cassal;4302006;0;0;0;10;3;2;0;0;2;0;2;0;0;0;0
benjamin constant do sul;4302055;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
bento goncalves;4302105;3;3;0;117;0;16;9;0;109;6;36;19;0;0;4
boa vista das missoes;4302154;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
boa vista do burica;4302204;0;0;0;4;0;0;0;0;3;1;1;0;0;0;0
boa vista do cadeado;4302220;0;0;0;4;0;0;0;0;3;0;0;0;0;0;0
boa vista do incra;4302238;0;0;0;4;1;1;0;0;3;0;0;0;0;0;0
boa vista do sul;4302253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bom jesus;4302303;0;0;0;10;0;1;0;0;3;1;1;2;0;0;0
bom principio;4302352;0;0;0;4;0;0;1;0;14;0;3;1;0;0;0
bom progresso;4302378;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
bom retiro do sul;4302402;0;0;0;6;1;1;0;0;8;1;0;0;0;0;0
boqueirao do leao;4302451;0;0;0;6;0;1;0;0;2;0;1;0;0;0;0
bossoroca;4302501;0;0;0;1;1;0;0;0;5;1;4;2;0;0;0
bozano;4302584;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
braga;4302600;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0
brochier;4302659;0;0;0;2;1;0;0;0;6;0;1;0;0;0;0
butia;4302709;0;0;0;18;5;1;1;0;10;3;2;5;0;0;0
cacapava do sul;4302808;0;0;0;32;4;5;0;0;20;5;5;3;0;0;0
cacequi;4302907;0;0;0;14;4;0;1;0;4;1;1;0;0;0;0
cachoeira do sul;4303004;2;2;0;80;4;0;1;0;28;3;9;19;0;0;2
cachoeirinha;4303103;1;1;0;100;0;17;64;6;130;5;11;16;0;0;1
cacique doble;4303202;0;0;0;6;0;0;0;0;0;4;0;0;0;0;0
caibate;4303301;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0
caicara;4303400;0;0;0;4;1;0;0;0;2;0;0;0;0;0;0
camaqua;4303509;0;0;0;63;1;1;4;0;34;7;12;13;0;0;0
camargo;4303558;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0
cambara do sul;4303608;0;0;0;2;0;0;0;0;5;0;0;0;0;0;0
campestre da serra;4303673;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
campina das missoes;4303707;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
campinas do sul;4303806;0;0;0;2;0;0;0;0;3;0;2;0;0;0;0
campo bom;4303905;1;1;0;42;0;5;12;4;69;0;9;6;0;0;1
campo novo;4304002;0;0;0;8;0;0;1;0;0;1;1;0;0;0;1
campos borges;4304101;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0
candelaria;4304200;0;0;0;17;3;0;1;0;7;2;2;4;0;0;0
candido godoi;4304309;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
candiota;4304358;0;0;0;5;0;1;0;1;6;0;1;1;0;0;0
canela;4304408;1;1;0;62;0;2;2;0;52;3;16;11;0;0;1
cangucu;4304507;0;0;0;25;3;1;2;1;14;2;1;1;0;0;0
canoas;4304606;4;4;0;445;1;52;182;21;362;9;77;46;0;0;4
canudos do vale;4304614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
capao bonito do sul;4304622;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
capao da canoa;4304630;1;1;0;76;0;5;9;0;66;3;11;9;0;0;1
capao do cipo;4304655;0;0;0;2;1;0;0;0;2;1;0;0;0;0;0
capao do leao;4304663;0;0;0;19;3;0;0;0;9;2;0;2;0;0;0
capela de santana;4304689;0;0;0;5;0;1;3;0;7;0;0;1;0;0;0
capitao;4304697;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
capivari do sul;4304671;0;0;0;1;0;0;0;0;1;2;0;1;0;0;0
caraa;4304713;0;0;0;0;0;0;0;0;3;0;2;1;0;0;0
carazinho;4304705;3;3;0;59;0;3;10;1;52;6;10;8;0;0;3
carlos barbosa;4304804;0;0;0;9;0;1;0;1;24;2;3;3;0;0;0
carlos gomes;4304853;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
casca;4304903;0;0;0;4;0;1;0;1;5;0;1;1;0;0;1
caseiros;4304952;0;0;0;3;2;1;0;0;1;2;2;0;0;0;0
catuipe;4305009;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
caxias do sul;4305108;5;5;0;391;3;63;93;16;424;27;4;31;0;0;7
centenario;4305116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cerrito;4305124;0;0;0;7;2;0;0;0;1;0;0;0;0;0;0
cerro branco;4305132;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0
cerro grande;4305157;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
cerro grande do sul;4305173;0;0;0;3;1;1;0;0;3;1;1;0;0;0;0
cerro largo;4305207;0;0;0;2;0;0;0;0;5;1;4;0;0;0;0
chapada;4305306;0;0;0;5;0;0;1;0;7;1;0;0;0;0;0
charqueadas;4305355;0;0;0;13;2;0;2;0;13;1;23;23;0;0;0
charrua;4305371;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
chiapetta;4305405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chui;4305439;0;0;0;3;1;0;1;0;2;1;1;1;0;0;0
chuvisca;4305447;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0
cidreira;4305454;0;0;0;21;1;1;2;0;7;2;0;2;0;0;0
ciriaco;4305504;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
colinas;4305587;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
colorado;4305603;0;0;0;2;1;0;0;0;1;1;1;0;0;0;0
condor;4305702;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0
constantina;4305801;0;0;0;10;1;2;0;0;6;0;1;2;0;0;0
coqueiro baixo;4305835;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
coqueiros do sul;4305850;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
coronel barros;4305871;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
coronel bicaco;4305900;0;0;0;5;1;0;0;0;3;1;0;1;0;0;0
coronel pilar;4305934;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
cotipora;4305959;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0
coxilha;4305975;0;0;0;4;0;0;0;0;3;0;1;0;0;0;0
crissiumal;4306007;0;0;0;14;0;0;0;0;2;0;0;0;0;0;0
cristal;4306056;0;0;0;4;1;0;0;0;7;1;2;0;0;0;0
cristal do sul;4306072;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
cruz alta;4306106;0;0;0;44;1;3;12;0;56;6;8;10;0;0;0
cruzaltense;4306130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cruzeiro do sul;4306205;0;0;0;6;0;0;0;0;6;1;1;0;0;0;0
david canabarro;4306304;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0
derrubadas;4306320;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
dezesseis de novembro;4306353;0;0;0;3;1;0;0;0;3;0;0;0;0;0;0
dilermando de aguiar;4306379;0;0;0;7;4;0;0;0;1;0;0;0;0;0;0
dois irmaos;4306403;1;1;0;11;0;1;1;0;28;0;4;2;0;0;1
dois irmaos das missoes;4306429;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
dois lajeados;4306452;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
dom feliciano;4306502;0;0;0;14;3;1;0;0;7;0;0;0;0;0;0
dom pedrito;4306601;0;0;0;19;8;1;5;1;15;2;9;6;0;0;0
dom pedro de alcantara;4306551;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
dona francisca;4306700;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
doutor ricardo;4306734;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0
dr mauricio cardoso;4306759;0;0;0;3;0;0;0;0;3;3;0;0;0;0;0
eldorado do sul;4306767;1;1;0;44;1;1;8;1;39;1;32;8;0;0;1
encantado;4306809;0;0;0;35;0;0;1;1;16;2;7;0;0;0;0
encruzilhada do sul;4306908;0;0;0;13;3;0;1;0;5;2;2;2;0;0;0
engenho velho;4306924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
entre ijuis;4306957;0;0;0;6;0;0;3;0;1;0;0;0;0;0;0
entre rios do sul;4306932;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
erebango;4306973;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0
erechim;4307005;0;0;0;79;0;1;9;0;75;12;26;8;0;0;0
ernestina;4307054;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0
erval grande;4307203;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0
erval seco;4307302;0;0;0;2;1;0;0;0;3;2;1;1;0;0;0
esmeralda;4307401;1;1;0;2;0;0;0;0;0;1;0;0;0;0;1
esperanca do sul;4307450;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
espumoso;4307500;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0
estacao;4307559;0;0;0;0;0;0;0;0;5;0;2;2;0;0;0
estancia velha;4307609;0;0;0;46;1;0;7;1;20;1;5;1;0;0;0
esteio;4307708;1;1;0;97;0;6;12;2;68;3;10;14;0;0;1
estrela;4307807;0;0;0;23;0;2;0;0;18;3;5;3;0;0;0
estrela velha;4307815;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
eugenio de castro;4307831;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0
fagundes varela;4307864;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
farroupilha;4307906;0;0;0;39;1;2;8;1;71;10;8;8;0;0;0
faxinal do soturno;4308003;0;0;0;7;0;0;0;0;5;1;1;0;0;0;0
faxinalzinho;4308052;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0
fazenda vila nova;4308078;0;0;0;9;2;1;0;0;2;0;0;0;0;0;0
feliz;4308102;0;0;0;7;0;0;0;0;13;0;2;1;0;0;0
