municipios,homicidio_doloso,total_vitimas_homicidio_doloso,latrocinio,furtos,abigeato,furto_veiculo,roubos,roubo_veiculo,estelionato,delitos_armas_municoes,entorpecente_posse,entorpecente_trafico,vitimas_latrocinio,vitimas_lesao_corporal_morte,total_vitimas_crimes_violentos,cluster
CACIQUE DOBLE,3,3,0,32,1,6,2,0,9,65,2,1,0,0,3,0
CAIBATE,0,0,0,10,2,0,0,0,26,3,1,2,0,0,1,0
CAICARA,0,0,0,27,6,2,0,0,17,3,2,0,0,0,0,0
CAMAQUA,5,5,1,641,29,26,52,7,350,40,167,130,1,0,6,0
CAMARGO,1,1,0,10,2,0,2,0,8,4,8,0,0,0,1,0
CAMBARA DO SUL,0,0,0,32,5,2,1,0,36,5,3,3,0,0,0,0
CAMPESTRE DA SERRA,1,1,0,15,1,2,3,1,6,5,3,1,0,0,1,0
CAMPINA DAS MISSOES,0,0,0,13,1,1,0,0,16,1,2,1,0,0,1,0
CAMPINAS DO SUL,0,0,0,35,1,0,1,0,22,9,21,1,0,0,0,0
CAMPO BOM,3,3,0,676,1,115,117,33,601,18,106,55,0,0,4,0
CAMPO NOVO,1,1,0,114,3,2,2,0,22,8,25,3,0,0,2,0
CAMPOS BORGES,0,0,0,23,4,1,0,1,11,3,1,1,0,0,0,0
CANDELARIA,4,4,0,276,32,8,17,1,134,20,53,39,0,0,5,0
CANDIDO GODOI,0,0,0,10,0,2,0,0,15,6,3,1,0,0,0,0
CANDIOTA,2,2,0,76,25,6,8,1,53,5,10,7,0,0,2,0
CANELA,5,5,0,625,1,26,36,2,579,22,209,120,0,0,5,0
CANGUCU,2,2,0,346,50,18,27,2,162,24,10,10,0,0,2,0
CANOAS,77,81,0,4872,3,493,1770,282,3962,156,702,620,0,0,82,1
CANUDOS DO VALE,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0
CAPAO BONITO DO SUL,0,0,0,35,24,0,0,0,4,2,0,0,0,0,0,0
CAPAO DA CANOA,14,15,0,1080,3,51,155,16,778,29,87,143,0,0,16,0
CAPAO DO CIPO,0,0,0,32,9,0,0,0,12,3,0,0,0,0,0,0
CAPAO DO LEAO,0,0,0,158,35,9,19,1,75,7,8,18,0,0,0,0
CAPELA DE SANTANA,1,1,0,47,7,5,9,1,64,3,8,22,0,0,1,0
CAPITAO,0,0,0,17,1,0,0,0,6,0,2,0,0,0,0,0
CAPIVARI DO SUL,0,0,0,23,2,0,4,1,30,4,8,2,0,0,0,0
CARAA,1,1,0,18,2,2,1,1,20,0,4,4,0,0,1,0
CARAZINHO,14,14,1,605,5,59,96,7,607,66,116,102,1,0,18,0
CARLOS BARBOSA,6,9,0,103,4,9,4,6,260,5,38,22,0,0,9,0
CARLOS GOMES,1,1,0,9,0,1,0,0,5,0,0,0,0,0,1,0
CASCA,1,1,0,67,5,10,0,1,70,2,16,19,0,0,2,0
CASEIROS,2,2,0,24,7,2,2,0,16,5,8,3,0,0,2,0
CATUIPE,2,2,0,44,7,2,3,0,33,11,3,3,0,0,2,0
CAXIAS DO SUL,83,86,1,4101,24,754,1035,197,4566,262,172,346,1,0,99,1
CENTENARIO,1,1,0,5,1,0,0,0,7,0,0,0,0,0,1,0
CERRITO,0,0,1,28,11,0,0,1,20,2,3,1,1,0,2,0
CERRO BRANCO,0,0,0,17,0,0,0,0,10,2,0,0,0,0,0,0
CERRO GRANDE,0,0,0,26,8,3,0,0,8,1,0,0,0,0,0,0
CERRO GRANDE DO SUL,2,2,0,42,3,3,3,1,18,13,3,0,0,0,2,0
CERRO LARGO,4,4,1,43,2,2,2,0,62,13,26,14,1,0,5,0
CHAPADA,1,1,0,43,1,3,5,0,66,4,1,0,0,0,1,0
CHARQUEADAS,1,1,0,167,4,5,13,0,179,16,192,220,0,0,1,0
CHARRUA,0,0,0,8,0,1,0,0,4,2,0,0,0,0,0,0
CHIAPETTA,0,0,0,19,0,1,2,0,14,2,3,5,0,0,0,0
CHUI,1,1,0,136,19,4,19,0,22,5,20,10,0,0,1,0
CHUVISCA,0,0,0,40,7,1,1,0,13,4,0,0,0,0,0,0
CIDREIRA,15,15,1,385,5,22,56,5,152,16,44,45,1,1,17,1
CIRIACO,0,0,0,28,9,2,0,0,31,4,4,3,0,0,2,0
COLINAS,0,0,0,10,0,0,0,0,11,0,2,0,0,0,1,0
COLORADO,0,0,0,26,3,0,0,0,8,3,1,0,0,0,0,0
CONDOR,2,2,0,53,10,5,2,1,56,4,2,1,0,0,3,0
CONSTANTINA,0,0,0,48,2,5,3,1,58,5,19,14,0,0,0,0
COQUEIRO BAIXO,0,0,0,7,0,1,0,0,6,1,0,0,0,0,0,0
COQUEIROS DO SUL,0,0,0,15,4,0,0,1,18,2,1,0,0,0,0,0
CORONEL BARROS,0,0,0,11,1,1,0,0,6,5,1,1,0,0,0,0
CORONEL BICACO,1,1,0,41,3,1,5,1,13,3,6,7,0,0,1,0
CORONEL PILAR,0,0,0,8,0,0,0,0,5,0,2,0,0,0,0,0
COTIPORA,0,0,0,17,1,2,0,0,16,3,1,0,0,0,1,0
COXILHA,0,0,0,28,4,1,0,0,12,3,9,0,0,0,0,0
CRISSIUMAL,0,0,0,73,4,2,0,0,45,13,5,6,0,0,0,0
CRISTAL,0,0,0,51,6,1,2,0,34,8,13,5,0,0,0,0
