municipios;ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;total_vitimas_crimes_violentos
candido godoi;4304309;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0
candiota;4304358;0;0;0;6;4;1;2;0;4;0;0;1;0;0;0
canela;4304408;0;0;0;45;0;2;8;0;57;3;17;7;0;0;0
cangucu;4304507;0;0;0;15;2;1;0;0;15;3;2;0;0;0;0
canoas;4304606;10;10;0;467;0;51;184;33;370;14;76;79;0;0;11
canudos do vale;4304614;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
capao bonito do sul;4304622;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
capao da canoa;4304630;0;0;0;89;0;8;14;3;63;0;4;11;0;0;0
capao do cipo;4304655;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0
capao do leao;4304663;0;0;0;16;2;0;2;0;7;1;1;0;0;0;0
capela de santana;4304689;0;0;0;3;1;0;0;0;2;0;0;1;0;0;0
capitao;4304697;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
capivari do sul;4304671;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
caraa;4304713;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
carazinho;4304705;3;3;1;61;0;2;21;0;71;6;10;4;1;0;7
carlos barbosa;4304804;0;0;0;11;0;1;0;0;25;1;1;2;0;0;0
carlos gomes;4304853;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
casca;4304903;0;0;0;12;1;1;0;0;7;1;0;1;0;0;0
caseiros;4304952;0;0;0;4;0;0;0;0;2;0;1;0;0;0;0
catuipe;4305009;0;0;0;5;0;1;1;0;1;1;0;1;0;0;0
caxias do sul;4305108;5;5;0;345;1;47;85;24;431;34;26;38;0;0;7
centenario;4305116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cerrito;4305124;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
cerro branco;4305132;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
cerro grande;4305157;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0
cerro grande do sul;4305173;0;0;0;5;0;1;1;0;3;2;0;0;0;0;0
cerro largo;4305207;0;0;1;5;0;0;1;0;8;1;2;1;1;0;1
chapada;4305306;0;0;0;2;0;0;0;0;6;1;0;0;0;0;0
charqueadas;4305355;0;0;0;15;0;1;3;0;9;4;15;18;0;0;0
charrua;4305371;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
chiapetta;4305405;0;0;0;1;0;0;0;0;4;0;0;1;0;0;0
chui;4305439;0;0;0;13;0;0;1;0;4;1;2;0;0;0;0
chuvisca;4305447;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0
cidreira;4305454;2;2;0;26;0;0;6;1;20;2;0;4;0;0;2
ciriaco;4305504;0;0;0;3;1;0;0;0;1;1;1;0;0;0;2
colinas;4305587;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
colorado;4305603;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
condor;4305702;0;0;0;3;0;0;0;0;7;0;0;0;0;0;0
constantina;4305801;0;0;0;3;0;0;0;0;7;0;5;1;0;0;0
coqueiro baixo;4305835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
coqueiros do sul;4305850;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
coronel barros;4305871;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
coronel bicaco;4305900;0;0;0;0;0;0;2;0;1;0;2;2;0;0;0
coronel pilar;4305934;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
cotipora;4305959;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
coxilha;4305975;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0
crissiumal;4306007;0;0;0;6;0;1;0;0;4;0;0;0;0;0;0
cristal;4306056;0;0;0;8;0;0;1;0;4;0;3;1;0;0;0
cristal do sul;4306072;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0
cruz alta;4306106;0;0;0;58;1;1;6;0;35;8;10;6;0;0;0
cruzaltense;4306130;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
cruzeiro do sul;4306205;1;1;0;7;1;0;0;0;5;0;2;0;0;0;1
david canabarro;4306304;0;0;0;2;1;0;0;0;3;0;0;0;0;0;0
derrubadas;4306320;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
dezesseis de novembro;4306353;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
dilermando de aguiar;4306379;0;0;0;2;1;0;0;0;1;1;0;0;0;0;0
dois irmaos;4306403;0;0;0;20;0;1;1;0;24;0;1;2;0;0;1
dois irmaos das missoes;4306429;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
dois lajeados;4306452;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0
dom feliciano;4306502;0;0;0;8;0;0;1;0;5;1;0;0;0;0;0
dom pedrito;4306601;0;0;0;24;5;0;3;0;15;2;8;7;0;0;0
dom pedro de alcantara;4306551;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
dona francisca;4306700;0;0;0;2;0;1;0;0;2;0;0;1;0;0;0
doutor ricardo;4306734;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
dr mauricio cardoso;4306759;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
eldorado do sul;4306767;0;0;0;42;0;3;13;0;33;1;9;13;0;0;0
