municipios;ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;total_vitimas_crimes_violentos
acegua;4300034;0;0;0;1;1;0;1;0;3;0;0;0;0;0;0
agua santa;4300059;0;0;0;3;1;1;0;0;1;0;0;0;0;0;0
agudo;4300109;0;0;0;7;0;0;1;0;4;0;0;0;0;0;0
ajuricaba;4300208;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
alecrim;4300307;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
alegrete;4300406;0;0;0;73;8;3;4;0;21;3;5;5;0;0;0
alegria;4300455;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
almirante tamandare do sul;4300471;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
alpestre;4300505;0;0;0;4;1;0;0;0;1;0;0;1;0;0;0
alto alegre;4300554;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
alto feliz;4300570;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
alvorada;4300604;6;6;0;108;1;12;84;11;114;3;32;26;0;0;9
amaral ferrador;4300638;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
ametista do sul;4300646;0;0;0;13;0;0;0;0;8;0;0;0;0;0;0
andre da rocha;4300661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anta gorda;4300703;0;0;0;3;0;0;0;0;3;0;1;0;0;0;0
antonio prado;4300802;0;0;0;5;0;0;0;0;2;1;1;2;0;0;0
arambare;4300851;0;0;0;7;1;0;1;0;7;0;2;0;0;0;0
ararica;4300877;0;0;0;2;1;0;0;0;6;0;2;0;0;0;0
aratiba;4300901;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
arroio do meio;4301008;0;0;0;14;0;2;0;0;18;1;2;1;0;0;0
arroio do padre;4301073;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
arroio do sal;4301057;0;0;0;25;0;4;1;0;9;3;4;7;0;0;0
arroio do tigre;4301206;0;0;0;3;0;1;0;0;6;0;0;0;0;0;0
arroio dos ratos;4301107;1;1;0;6;0;0;0;0;4;1;3;3;0;0;1
arroio grande;4301305;1;1;0;7;1;0;0;0;1;0;2;3;0;0;1
