municipios;ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;total_vitimas_crimes_violentos;latitude;longitude;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;taxa_homicidio_doloso;taxa_total_vitimas_homicidio_doloso;taxa_latrocinio;taxa_furtos;taxa_abigeato;taxa_furto_veiculo;taxa_roubos;taxa_roubo_veiculo;taxa_estelionato;taxa_delitos_armas_municoes;taxa_entorpecente_posse;taxa_entorpecente_trafico;taxa_vitimas_latrocinio;taxa_vitimas_lesao_corporal_morte;taxa_total_vitimas_crimes_violentos
cachoeirinha;4303103;10;11;0;1557;1;124;580;70;1358;39;101;118;0;0;15;-29.94719999999;-51.10159999999;120760;121923;124120;126429;129708;131199;132900;133132;133657;133857;135503;136683;7.316198795753678;8.047818675329045;0.0;1139.1321524988477;0.7316198795753679;90.72086506734561;424.3395301537133;51.213391570275746;993.5397964633495;28.533175303439346;73.89360783711214;86.3311457898934;0.0;0.0;10.974298193630517
cacique doble;4303202;3;3;0;32;1;6;2;0;9;65;2;1;0;0;3;-27.76699999999;-51.6597;4970;4980;5042;5101;5193;5257;5232;5154;5094;5113;5103;5087;58.97385492431689;58.97385492431689;0.0;629.0544525260468;19.657951641438963;117.94770984863378;39.315903282877926;0.0;176.92156477295066;1277.7668566935326;39.315903282877926;19.657951641438963;0.0;0.0;58.97385492431689
caibate;4303301;0;0;0;10;2;0;0;0;26;3;1;2;0;0;1;-28.2905;-54.6454;5053;5216;5190;5320;5258;5241;5065;5076;5081;5112;4986;5018;0.0;0.0;0.0;199.28258270227184;39.856516540454365;0.0;0.0;0.0;518.1347150259068;59.78477481068154;19.928258270227182;39.856516540454365;0.0;0.0;19.928258270227182
caicara;4303400;0;0;0;27;6;2;0;0;17;3;2;0;0;0;0;-27.2791;-53.42569999999;5172;5134;5113;5016;4958;4860;4731;4855;4872;4959;4932;4886;0.0;0.0;0.0;552.5992632009825;122.79983626688497;40.93327875562832;0.0;0.0;347.9328694228408;61.39991813344248;40.93327875562832;0.0;0.0;0.0;0.0
camaqua;4303509;5;5;1;641;29;26;52;7;350;40;167;130;1;0;6;-30.8489;-51.80429999999;64076;63950;64324;64448;64831;65502;65723;65293;65268;65826;66521;66321;7.539090182596764;7.539090182596764;1.5078180365193528;966.5113614089051;43.726723059061236;39.203268949503176;78.40653789900635;10.554726255635469;527.7363127817734;60.312721460774114;251.80561209873193;196.01634474751586;1.5078180365193528;0.0;9.046908219116117
camargo;4303558;1;1;0;10;2;0;2;0;8;4;8;0;0;0;1;-28.588;-52.20029999999;2644;2615;2564;2656;2730;2780;2773;2836;2899;2978;2996;2989;33.45600535296086;33.45600535296086;0.0;334.5600535296085;66.91201070592172;0.0;66.91201070592172;0.0;267.64804282368686;133.82402141184343;267.64804282368686;0.0;0.0;0.0;33.45600535296086
cambara do sul;4303608;0;0;0;32;5;2;1;0;36;5;3;3;0;0;0;-29.0474;-50.1465;6686;6445;6290;6225;6356;6401;6415;6295;6292;6307;6423;6374;0.0;0.0;0.0;502.0395356134295;78.44367743959836;31.377470975839344;15.688735487919672;0.0;564.7944775651083;78.44367743959836;47.06620646375902;47.06620646375902;0.0;0.0;0.0
campestre da serra;4303673;1;1;0;15;1;2;3;1;6;5;3;1;0;0;1;-28.7926;-51.09409999999;3311;3224;3234;3331;3367;3339;3292;3292;3310;3291;3267;3247;30.797659377887282;30.797659377887282;0.0;461.9648906683092;30.797659377887282;61.595318755774564;92.39297813366184;30.797659377887282;184.78595626732368;153.9882968894364;92.39297813366184;30.797659377887282;0.0;0.0;30.797659377887282
campina das missoes;4303707;0;0;0;13;1;1;0;0;16;1;2;1;0;0;1;-27.9888;-54.8417;6232;6119;6114;6326;6254;6221;6149;6169;6181;6110;6199;6207;0.0;0.0;0.0;209.44095376188173;16.110842597067826;16.110842597067826;0.0;0.0;257.7734815530852;16.110842597067826;32.22168519413565;16.110842597067826;0.0;0.0;16.110842597067826
campinas do sul;4303806;0;0;0;35;1;0;1;0;22;9;21;1;0;0;0;-27.7174;-52.6248;5613;5569;5655;5655;5659;5692;5729;5818;5852;5908;5873;5855;0.0;0.0;0.0;597.7796754910332;17.079419299743808;0.0;17.079419299743808;0.0;375.7472245943638;153.71477369769428;358.66780529462;17.079419299743808;0.0;0.0;0.0
campo bom;4303905;3;3;0;676;1;115;117;33;601;18;106;55;0;0;4;-29.6747;-51.0606;61314;60946;61476;61702;62410;63058;63774;64622;65218;65833;66459;66930;4.482294935006723;4.482294935006723;0.0;1010.0104586881816;1.4940983116689077;171.82130584192439;174.80950246526223;49.30524428507396;897.9530853130135;26.89376961004034;158.37442103690424;82.17540714178993;0.0;0.0;5.976393246675631
campo novo;4304002;1;1;0;114;3;2;2;0;22;8;25;3;0;0;2;-27.6792;-53.80519999999;5572;5495;5422;5285;5304;5231;5207;5185;5207;5165;5110;5085;19.66568338249754;19.66568338249754;0.0;2241.88790560472;58.99705014749262;39.33136676499508;39.33136676499508;0.0;432.6450344149459;157.32546705998033;491.6420845624385;58.99705014749262;0.0;0.0;39.33136676499508
campos borges;4304101;0;0;0;23;4;1;0;1;11;3;1;1;0;0;0;-28.8871;-53.00079999999;3570;3534;3584;3600;3596;3617;3661;3763;3774;3753;3689;3715;0.0;0.0;0.0;619.1117092866756;107.67160161507401;26.917900403768503;0.0;26.917900403768503;296.0969044414536;80.75370121130553;26.917900403768503;26.917900403768503;0.0;0.0;0.0
candelaria;4304200;4;4;0;276;32;8;17;1;134;20;53;39;0;0;5;-29.66839999999;-52.78949999999;30791;30681;30566;30567;30447;30516;30690;30643;30649;30430;30397;30186;13.251176041873716;13.251176041873716;0.0;914.3311468892865;106.00940833498973;26.502352083747432;56.31749817796329;3.312794010468429;443.9143974027695;66.25588020936858;175.57808255482672;129.19896640826875;0.0;0.0;16.563970052342146
candido godoi;4304309;0;0;0;10;0;2;0;0;15;6;3;1;0;0;0;-27.95149999999;-54.7517;6664;6539;6388;6328;6311;6527;6563;6655;6587;6728;6684;6725;0.0;0.0;0.0;148.6988847583643;0.0;29.739776951672862;0.0;0.0;223.04832713754647;89.21933085501858;44.60966542750929;14.869888475836431;0.0;0.0;0.0
candiota;4304358;2;2;0;76;25;6;8;1;53;5;10;7;0;0;2;-31.5515;-53.6773;8968;8967;8969;8989;9074;9103;9186;9290;9450;9440;9430;9435;21.197668256491788;21.197668256491788;0.0;805.511393746688;264.9708532061473;63.59300476947536;84.79067302596715;10.598834128245894;561.7382087970324;52.994170641229466;105.98834128245893;74.19183889772124;0.0;0.0;21.197668256491788
canela;4304408;5;5;0;625;1;26;36;2;579;22;209;120;0;0;5;-29.356;-50.8119;40090;40520;41073;41789;42611;43290;43724;44128;45054;46280;47453;47990;10.418837257762034;10.418837257762034;0.0;1302.3546572202542;2.0837674515524065;54.177953740362575;75.01562825588665;4.167534903104813;1206.5013544488434;45.84288393415295;435.50739737445303;250.0520941862888;0.0;0.0;10.418837257762034
cangucu;4304507;2;2;0;346;50;18;27;2;162;24;10;10;0;0;2;-31.396;-52.67819999999;54357;54099;54131;53864;53780;53552;53214;53161;53121;53164;53022;53161;3.7621564680875075;3.7621564680875075;0.0;650.8530689791388;94.05391170218769;33.85940821278757;50.789112319181356;3.7621564680875075;304.73467391508814;45.14587761705009;18.810782340437537;18.810782340437537;0.0;0.0;3.7621564680875075
canoas;4304606;77;81;0;4872;3;493;1770;282;3962;156;702;620;0;0;82;-29.9128;-51.18569999999;330718;333267;338457;343688;348619;352046;354565;355918;357168;359562;362337;365364;21.074873277060686;22.169671888856044;0.0;1333.4647091667487;0.8210989588465202;134.93392890377814;484.4483857194469;77.1833021315729;1084.3980249833044;42.69714586001905;192.13715637008573;169.69378482828083;0.0;0.0;22.443371541804883
canudos do vale;4304614;0;0;0;9;0;0;0;0;10;0;0;0;0;0;0;-29.3187;-52.23449999999;1841;1852;1820;1833;1803;1784;1684;1687;1705;1753;1751;1757;0.0;0.0;0.0;512.2367672168469;0.0;0.0;0.0;0.0;569.1519635742743;0.0;0.0;0.0;0.0;0.0;0.0
capao bonito do sul;4304622;0;0;0;35;24;0;0;0;4;2;0;0;0;0;0;-29.76419999999;-50.02819999999;1792;1863;1947;2020;2036;2008;2009;1989;2015;1982;1973;1952;0.0;0.0;0.0;1793.0327868852457;1229.5081967213114;0.0;0.0;0.0;204.91803278688525;102.45901639344262;0.0;0.0;0.0;0.0;0.0
capao da canoa;4304630;14;15;0;1080;3;51;155;16;778;29;87;143;0;0;16;-29.6397;-49.95989999999;42962;44093;44869;45735;46518;48162;49653;51299;52685;53769;55102;56396;24.824455635151427;26.597631037662246;0.0;1915.0294347116817;5.319526207532449;90.43194552805163;274.84218738917656;28.370806440173062;1379.530463153415;51.42208667281368;154.26626001844102;253.56408255904677;0.0;0.0;28.370806440173062
capao do cipo;4304655;0;0;0;32;9;0;0;0;12;3;0;0;0;0;0;-28.904;-54.7;3169;3139;3091;3074;3067;3114;3191;3225;3233;3152;3191;3198;0.0;0.0;0.0;1000.6253908692933;281.42589118198873;0.0;0.0;0.0;375.234521575985;93.80863039399625;0.0;0.0;0.0;0.0;0.0
capao do leao;4304663;0;0;0;158;35;9;19;1;75;7;8;18;0;0;0;-31.75649999999;-52.4889;24837;25168;25264;25229;25447;25792;26044;26189;26524;27002;27170;27105;0.0;0.0;0.0;582.9182807600074;129.12746725696366;33.20420586607637;70.09776793949456;3.6893562073418193;276.7017155506364;25.82549345139273;29.514849658734555;66.40841173215274;0.0;0.0;0.0
capela de santana;4304689;1;1;0;47;7;5;9;1;64;3;8;22;0;0;1;-29.6961;-51.328;11866;11842;11878;12179;12433;12600;12514;12534;12559;12716;12944;13084;7.642922653622745;7.642922653622745;0.0;359.2173647202691;53.50045857535922;38.21461326811373;68.78630388260471;7.642922653622745;489.14704983185567;22.928767960868235;61.14338122898196;168.1442983797004;0.0;0.0;7.642922653622745
capitao;4304697;0;0;0;17;1;0;0;0;6;0;2;0;0;0;0;-29.26739999999;-51.9853;2687;2694;2739;2829;2884;2911;3033;3048;3090;3045;3119;3185;0.0;0.0;0.0;533.7519623233909;31.39717425431711;0.0;0.0;0.0;188.38304552590267;0.0;62.79434850863422;0.0;0.0;0.0;0.0
capivari do sul;4304671;0;0;0;23;2;0;4;1;30;4;8;2;0;0;0;-30.1382;-50.51509999999;3972;4116;4234;4245;4278;4355;4371;4421;4463;4545;4567;4620;0.0;0.0;0.0;497.83549783549785;43.29004329004329;0.0;86.58008658008659;21.645021645021647;649.3506493506494;86.58008658008659;173.16017316017317;43.29004329004329;0.0;0.0;0.0
caraa;4304713;1;1;0;18;2;2;1;1;20;0;4;4;0;0;1;-29.78689999999;-50.4316;7461;7469;7486;7623;7922;8011;7900;7826;7921;8095;8087;8175;12.232415902140673;12.232415902140673;0.0;220.18348623853214;24.464831804281346;24.464831804281346;12.232415902140673;12.232415902140673;244.64831804281343;0.0;48.92966360856269;48.92966360856269;0.0;0.0;12.232415902140673
carazinho;4304705;14;14;1;605;5;59;96;7;607;66;116;102;1;0;18;-28.2958;-52.7933;60545;61002;61550;62307;62647;63096;62873;62860;62704;63291;63843;64757;21.619284401686304;21.619284401686304;1.5442346001204503;934.2619330728724;7.721173000602251;91.10984140710657;148.24652161156322;10.809642200843152;937.3504022731132;101.91948360794973;179.13121361397222;157.51192921228593;1.5442346001204503;0.0;27.796222802168106
carlos barbosa;4304804;6;9;0;103;4;9;4;6;260;5;38;22;0;0;9;-29.2969;-51.50289999999;25683;26085;26019;26315;26858;27838;28793;29182;29886;30563;31285;31709;18.9220725976852;28.383108896527798;0.0;324.82891292692926;12.614715065123466;28.383108896527798;12.614715065123466;18.9220725976852;819.9564792330253;15.768393831404333;119.83979311867294;69.38093285817907;0.0;0.0;28.383108896527798
carlos gomes;4304853;1;1;0;9;0;1;0;0;5;0;0;0;0;0;1;-27.71669999999;-51.9121;1641;1656;1627;1595;1543;1527;1519;1534;1522;1524;1489;1482;67.47638326585695;67.47638326585695;0.0;607.2874493927126;0.0;67.47638326585695;0.0;0.0;337.38191632928476;0.0;0.0;0.0;0.0;0.0;67.47638326585695
casca;4304903;1;1;0;67;5;10;0;1;70;2;16;19;0;0;2;-28.5605;-51.98149999999;8813;8712;8746;8597;8719;8685;8834;9049;9225;9298;9222;9366;10.676916506512919;10.676916506512919;0.0;715.3534059363656;53.38458253256459;106.76916506512919;0.0;10.676916506512919;747.3841554559043;21.353833013025838;170.8306641042067;202.86141362374548;0.0;0.0;21.353833013025838
caseiros;4304952;2;2;0;24;7;2;2;0;16;5;8;3;0;0;2;-28.25819999999;-51.6861;3066;2980;2982;3151;3225;3257;3193;3250;3368;3404;3328;3235;61.82380216383308;61.82380216383308;0.0;741.885625965997;216.38330757341578;61.82380216383308;61.82380216383308;0.0;494.59041731066463;154.5595054095827;247.29520865533232;92.73570324574962;0.0;0.0;61.82380216383308
catuipe;4305009;2;2;0;44;7;2;3;0;33;11;3;3;0;0;2;-28.2554;-54.01319999999;9505;9494;9527;9553;9519;9366;9203;9207;9324;9360;9447;9483;21.090372245070125;21.090372245070125;0.0;463.9881893915428;73.81630285774544;21.090372245070125;31.63555836760519;0.0;347.9911420436571;115.9970473478857;31.63555836760519;31.63555836760519;0.0;0.0;21.090372245070125
caxias do sul;4305108;83;86;1;4101;24;754;1035;197;4566;262;172;346;1;0;99;-29.1629;-51.1792;444507;450456;455255;459906;464027;468234;469604;468518;468919;472037;477142;479884;17.295846496236592;17.920997574413814;0.20838369272574206;854.5815238682682;5.001208625417809;157.1213043152095;215.677121971143;41.051587466971185;951.4799409857382;54.59652749414442;35.84199514882763;72.10075768310675;0.20838369272574206;0.0;20.629985579848462
centenario;4305116;1;1;0;5;1;0;0;0;7;0;0;0;0;0;1;-27.7616;-51.99839999999;3021;3042;3002;3029;3075;3116;3056;3002;3033;3089;3123;3148;31.76620076238882;31.76620076238882;0.0;158.8310038119441;31.76620076238882;0.0;0.0;0.0;222.36340533672174;0.0;0.0;0.0;0.0;0.0;31.76620076238882
cerrito;4305124;0;0;1;28;11;0;0;1;20;2;3;1;1;0;2;-31.84189999999;-52.8004;6531;6554;6404;6398;6321;6246;6140;6092;6043;6062;6007;6133;0.0;0.0;16.305233980107616;456.54655144301324;179.35757378118376;0.0;0.0;16.305233980107616;326.1046796021523;32.61046796021523;48.91570194032284;16.305233980107616;16.305233980107616;0.0;32.61046796021523
cerro branco;4305132;0;0;0;17;0;0;0;0;10;2;0;0;0;0;0;-29.657;-52.9406;4543;4499;4431;4380;4430;4450;4445;4469;4318;4283;4102;4128;0.0;0.0;0.0;411.82170542635663;0.0;0.0;0.0;0.0;242.24806201550388;48.44961240310077;0.0;0.0;0.0;0.0;0.0
cerro grande;4305157;0;0;0;26;8;3;0;0;8;1;0;0;0;0;0;-27.6106;-53.1672;2465;2465;2450;2460;2457;2471;2474;2508;2533;2561;2598;2670;0.0;0.0;0.0;973.7827715355805;299.62546816479403;112.35955056179776;0.0;0.0;299.62546816479403;37.453183520599254;0.0;0.0;0.0;0.0;0.0
cerro grande do sul;4305173;2;2;0;42;3;3;3;1;18;13;3;0;0;0;2;-30.59049999999;-51.74179999999;10498;10459;10429;10506;10566;10532;10559;10661;10968;11018;10914;10675;18.73536299765808;18.73536299765808;0.0;393.44262295081967;28.10304449648712;28.10304449648712;28.10304449648712;9.36768149882904;168.61826697892272;121.77985948477752;28.10304449648712;0.0;0.0;0.0;18.73536299765808
cerro largo;4305207;4;4;1;43;2;2;2;0;62;13;26;14;1;0;5;-28.1462;-54.7428;13556;13685;13600;13651;13741;13944;14136;14287;14590;14608;14746;14814;27.00148508167949;27.00148508167949;6.750371270419873;290.2659646280545;13.500742540839745;13.500742540839745;13.500742540839745;0.0;418.5230187660321;87.75482651545835;175.5096530309167;94.50519778587822;6.750371270419873;0.0;33.75185635209937
chapada;4305306;1;1;0;43;1;3;5;0;66;4;1;0;0;0;1;-28.0559;-53.06649999999;9554;9643;9685;9468;9334;9287;9478;9578;9882;10096;10330;10299;9.709680551509855;9.709680551509855;0.0;417.51626371492375;9.709680551509855;29.129041654529562;48.548402757549276;0.0;640.8389163996504;38.83872220603942;9.709680551509855;0.0;0.0;0.0;9.709680551509855
charqueadas;4305355;1;1;0;167;4;5;13;0;179;16;192;220;0;0;1;-29.9625;-51.6289;36043;36544;36785;36913;37302;37678;37739;37559;37595;37641;37571;38054;2.6278446418247756;2.6278446418247756;0.0;438.8500551847375;10.511378567299102;13.139223209123875;34.16198034372208;0.0;470.38419088663477;42.04551426919641;504.5461712303569;578.1258212014505;0.0;0.0;2.6278446418247756
charrua;4305371;0;0;0;8;0;1;0;0;4;2;0;0;0;0;0;-27.9493;-52.015;3549;3538;3504;3413;3409;3337;3221;3192;3189;3237;3214;3211;0.0;0.0;0.0;249.1435689816257;0.0;31.14294612270321;0.0;0.0;124.57178449081285;62.28589224540642;0.0;0.0;0.0;0.0;0.0
chiapetta;4305405;0;0;0;19;0;1;2;0;14;2;3;5;0;0;0;-27.92299999999;-53.94189999999;4128;4085;4093;4176;4206;4181;4117;4176;4178;4171;4088;4047;0.0;0.0;0.0;469.4835680751174;0.0;24.709661477637756;49.41932295527551;0.0;345.9352606869286;49.41932295527551;74.12898443291327;123.54830738818879;0.0;0.0;0.0
chui;4305439;1;1;0;136;19;4;19;0;22;5;20;10;0;0;1;-33.68659999999;-53.4594;6053;5971;5935;5915;5983;6038;6015;5919;5930;6008;6003;5869;17.03867779860283;17.03867779860283;0.0;2317.2601806099847;323.73487817345375;68.15471119441132;323.73487817345375;0.0;374.8509115692622;85.19338899301414;340.77355597205656;170.38677798602828;0.0;0.0;17.03867779860283
chuvisca;4305447;0;0;0;40;7;1;1;0;13;4;0;0;0;0;0;-30.75039999999;-51.9737;5055;5026;5033;5061;5141;5171;5165;5136;5141;5197;5203;5242;0.0;0.0;0.0;763.0675314765357;133.53681800839377;19.07668828691339;19.07668828691339;0.0;247.99694772987408;76.30675314765357;0.0;0.0;0.0;0.0;0.0
cidreira;4305454;15;15;1;385;5;22;56;5;152;16;44;45;1;1;17;-30.16039999999;-50.2338;12935;13119;13406;13677;13962;14248;14529;14943;15273;15730;16117;16515;90.82652134423252;90.82652134423252;6.055101422948835;2331.2140478353012;30.275507114744173;133.21223130487436;339.0856796851347;30.275507114744173;920.3754162882228;96.88162276718136;266.42446260974873;272.4795640326975;6.055101422948835;6.055101422948835;102.93672419013019
ciriaco;4305504;0;0;0;28;9;2;0;0;31;4;4;3;0;0;2;-28.34189999999;-51.87409999999;5020;5021;5024;4919;4805;4709;4696;4676;4674;4657;4602;4670;0.0;0.0;0.0;599.5717344753748;192.71948608137046;42.82655246252676;0.0;0.0;663.8115631691649;85.65310492505353;85.65310492505353;64.23982869379014;0.0;0.0;42.82655246252676
colinas;4305587;0;0;0;10;0;0;0;0;11;0;2;0;0;0;1;-29.38149999999;-51.8526;2463;2528;2631;2689;2754;2779;2862;2904;2938;2954;2964;2971;0.0;0.0;0.0;336.58700774150117;0.0;0.0;0.0;0.0;370.2457085156513;0.0;67.31740154830024;0.0;0.0;0.0;33.65870077415012
colorado;4305603;0;0;0;26;3;0;0;0;8;3;1;0;0;0;0;-28.5258;-52.9928;3620;3502;3491;3475;3485;3388;3371;3438;3478;3537;3473;3482;0.0;0.0;0.0;746.6973004020678;86.15738081562321;0.0;0.0;0.0;229.75301550832856;86.15738081562321;28.71912693854107;0.0;0.0;0.0;0.0
condor;4305702;2;2;0;53;10;5;2;1;56;4;2;1;0;0;3;-28.2075;-53.49049999999;6691;6484;6104;6112;6117;6051;6487;6832;7157;7206;7271;7277;27.48385323622372;27.48385323622372;0.0;728.3221107599286;137.4192661811186;68.7096330905593;27.48385323622372;13.74192661811186;769.5478906142641;54.96770647244744;27.48385323622372;13.74192661811186;0.0;0.0;41.22577985433558
constantina;4305801;0;0;0;48;2;5;3;1;58;5;19;14;0;0;0;-27.73199999999;-52.9938;9951;10072;10127;10241;10174;10225;10218;10298;10451;10745;10780;10805;0.0;0.0;0.0;444.23877834335957;18.509949097639982;46.27487274409995;27.764923646459973;9.254974548819991;536.7885238315595;46.27487274409995;175.84451642757983;129.56964368347985;0.0;0.0;0.0
coqueiro baixo;4305835;0;0;0;7;0;1;0;0;6;1;0;0;0;0;0;-29.1722;-52.0989;1556;1544;1553;1529;1511;1437;1453;1425;1485;1492;1518;1500;0.0;0.0;0.0;466.6666666666667;0.0;66.66666666666667;0.0;0.0;400.0;66.66666666666667;0.0;0.0;0.0;0.0;0.0
coqueiros do sul;4305850;0;0;0;15;4;0;0;1;18;2;1;0;0;0;0;-28.11939999999;-52.78419999999;2503;2427;2451;2464;2437;2392;2369;2383;2369;2355;2332;2392;0.0;0.0;0.0;627.0903010033445;167.22408026755852;0.0;0.0;41.80602006688963;752.5083612040133;83.61204013377926;41.80602006688963;0.0;0.0;0.0;0.0
coronel barros;4305871;0;0;0;11;1;1;0;0;6;5;1;1;0;0;0;-28.39219999999;-54.0686;2502;2630;2705;2769;2740;2750;2738;2813;2837;2880;2886;2908;0.0;0.0;0.0;378.2668500687758;34.3878954607978;34.3878954607978;0.0;0.0;206.3273727647868;171.93947730398898;34.3878954607978;34.3878954607978;0.0;0.0;0.0
coronel bicaco;4305900;1;1;0;41;3;1;5;1;13;3;6;7;0;0;1;-27.7197;-53.70219999999;7912;7797;7688;7641;7492;7394;7271;7278;7404;7398;7488;7477;13.374348000534972;13.374348000534972;0.0;548.348268021934;40.123044001604924;13.374348000534972;66.87174000267487;13.374348000534972;173.86652400695465;40.123044001604924;80.24608800320985;93.62043600374481;0.0;0.0;13.374348000534972
coronel pilar;4305934;0;0;0;8;0;0;0;0;5;0;2;0;0;0;0;-29.2684;-51.68789999999;1761;1741;1705;1682;1673;1667;1691;1712;1739;1774;1761;1743;0.0;0.0;0.0;458.97877223178426;0.0;0.0;0.0;0.0;286.8617326448652;0.0;114.74469305794607;0.0;0.0;0.0;0.0
cotipora;4305959;0;0;0;17;1;2;0;0;16;3;1;0;0;0;1;-28.9891;-51.69709999999;3985;3929;3907;3876;3768;3796;3828;3906;3903;3960;3959;3967;0.0;0.0;0.0;428.5354171918326;25.207965717166626;50.41593143433325;0.0;0.0;403.327451474666;75.62389715149988;25.207965717166626;0.0;0.0;0.0;25.207965717166626
coxilha;4305975;0;0;0;28;4;1;0;0;12;3;9;0;0;0;0;-28.128;-52.3023;2882;2842;2825;2857;2865;2905;2917;2959;2923;2938;2899;2912;0.0;0.0;0.0;961.5384615384615;137.36263736263737;34.34065934065934;0.0;0.0;412.0879120879121;103.02197802197803;309.0659340659341;0.0;0.0;0.0;0.0
crissiumal;4306007;0;0;0;73;4;2;0;0;45;13;5;6;0;0;0;-27.4999;-54.0994;14363;14307;14187;14095;14103;13970;14085;13885;13960;13894;13912;13901;0.0;0.0;0.0;525.1420761096324;28.774908279979854;14.387454139989927;0.0;0.0;323.71771814977336;93.51845190993454;35.96863534997482;43.16236241996979;0.0;0.0;0.0
cristal;4306056;0;0;0;51;6;1;2;0;34;8;13;5;0;0;0;-31.0046;-52.04359999999;7436;7445;7442;7489;7546;7704;7734;7677;7624;7590;7612;7633;0.0;0.0;0.0;668.15144766147;78.60605266605528;13.101008777675883;26.202017555351766;0.0;445.43429844097994;104.80807022140706;170.31311410978645;65.5050438883794;0.0;0.0;0.0
cristal do sul;4306072;0;0;0;11;2;0;0;0;12;3;0;0;0;0;0;-27.452;-53.24219999999;2881;2880;2872;2854;2836;2838;2830;2832;2897;2912;2948;2885;0.0;0.0;0.0;381.2824956672444;69.32409012131716;0.0;0.0;0.0;415.94454072790296;103.98613518197574;0.0;0.0;0.0;0.0;0.0
cruz alta;4306106;15;15;0;669;12;28;83;2;576;76;102;113;0;0;15;-28.645;-53.60479999999;64134;63962;63935;63114;62631;62035;61769;61563;61700;61800;62006;62386;24.04385599333184;24.04385599333184;0.0;1072.3559773026;19.235084794665468;44.8818645208861;133.0426698297695;3.205847465777578;923.2840701439425;121.82220369954797;163.4982207546565;181.13038181643316;0.0;0.0;24.04385599333184
cruzaltense;4306130;0;0;0;13;1;0;3;0;2;0;0;0;0;0;0;-27.6644;-52.6492;2183;2123;2080;2055;2012;2007;1975;1934;1878;1856;1877;1891;0.0;0.0;0.0;687.4669487043892;52.882072977260705;0.0;158.64621893178213;0.0;105.76414595452141;0.0;0.0;0.0;0.0;0.0;0.0
cruzeiro do sul;4306205;2;2;0;90;6;4;2;0;60;1;7;3;0;0;4;-29.5148;-51.9928;12566;12699;12707;12775;12695;12842;13061;13122;13267;13230;13552;13637;14.665982254161474;14.665982254161474;0.0;659.9692014372663;43.99794676248442;29.331964508322947;14.665982254161474;0.0;439.97946762484423;7.332991127080737;51.33093788956515;21.99897338124221;0.0;0.0;29.331964508322947
david canabarro;4306304;0;0;0;21;4;1;0;0;26;0;0;1;0;0;0;-28.38489999999;-51.84819999999;4773;4641;4657;4586;4507;4354;4453;4479;4581;4525;4552;4531;0.0;0.0;0.0;463.4738468329287;88.28073273008167;22.070183182520417;0.0;0.0;573.8247627455307;0.0;0.0;22.070183182520417;0.0;0.0;0.0
derrubadas;4306320;0;0;0;10;1;1;0;0;6;5;1;0;0;0;0;-27.26419999999;-53.8645;3256;3233;3170;3088;2981;2980;2971;3017;2998;2995;2962;2926;0.0;0.0;0.0;341.76349965823647;34.176349965823654;34.176349965823654;0.0;0.0;205.0580997949419;170.88174982911823;34.176349965823654;0.0;0.0;0.0;0.0
dezesseis de novembro;4306353;0;0;0;10;2;0;0;0;9;0;2;2;0;0;0;-28.219;-55.0617;2924;2906;2867;2828;2765;2703;2684;2678;2669;2607;2515;2503;0.0;0.0;0.0;399.5205753096284;79.9041150619257;0.0;0.0;0.0;359.5685177786656;0.0;79.9041150619257;79.9041150619257;0.0;0.0;0.0
dilermando de aguiar;4306379;0;0;0;39;25;0;2;0;9;5;0;0;0;0;0;-29.7054;-54.2122;3128;3053;3004;2936;2922;2941;2961;2937;2915;2891;2919;2985;0.0;0.0;0.0;1306.532663316583;837.5209380234505;0.0;67.00167504187606;0.0;301.5075376884422;167.50418760469012;0.0;0.0;0.0;0.0;0.0
dois irmaos;4306403;1;1;0;152;3;8;13;1;284;7;60;34;0;0;3;-29.5836;-51.08979999999;28130;28869;29680;30224;30565;30988;31613;32138;32614;32913;33417;33479;2.9869470414289556;2.9869470414289556;0.0;454.01595029720124;8.960841124286867;23.895576331431645;38.83031153857642;2.9869470414289556;848.2929597658234;20.90862929000269;179.2168224857373;101.55619940858448;0.0;0.0;8.960841124286867
dois irmaos das missoes;4306429;0;0;0;7;2;0;0;0;6;0;0;0;0;0;0;-27.66209999999;-53.5304;2199;2136;2123;2104;2122;2088;2073;2109;2144;2148;2138;2131;0.0;0.0;0.0;328.484279680901;93.85265133740027;0.0;0.0;0.0;281.55795401220087;0.0;0.0;0.0;0.0;0.0;0.0
dois lajeados;4306452;0;0;0;16;1;1;0;1;13;2;0;0;0;0;0;-28.983;-51.83959999999;3341;3240;3274;3233;3251;3235;3296;3324;3387;3460;3509;3539;0.0;0.0;0.0;452.1051144391071;28.256569652444195;28.256569652444195;0.0;28.256569652444195;367.3354054817745;56.51313930488839;0.0;0.0;0.0;0.0;0.0
