municipios;ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;total_vitimas_crimes_violentos;latitude;longitude;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;taxa_homicidio_doloso;taxa_total_vitimas_homicidio_doloso;taxa_latrocinio;taxa_furtos;taxa_abigeato;taxa_furto_veiculo;taxa_roubos;taxa_roubo_veiculo;taxa_estelionato;taxa_delitos_armas_municoes;taxa_entorpecente_posse;taxa_entorpecente_trafico;taxa_vitimas_latrocinio;taxa_vitimas_lesao_corporal_morte;taxa_total_vitimas_crimes_violentos
anta gorda;4300703;1;1;0;30;0;2;1;0;6;2;8;1;0;0;1;-28.96979999999;-52.01019999999;6189;6086;6185;6239;6273;6323;6433;6558;6614;6677;6787;6785;14.738393515106853;14.738393515106853;0.0;442.1518054532056;0.0;29.476787030213707;14.738393515106853;0.0;88.43036109064111;29.476787030213707;117.90714812085483;14.738393515106853;0.0;0.0;14.738393515106853
antonio prado;4300802;0;0;0;66;5;9;5;3;89;3;17;17;0;0;1;-28.8565;-51.2883;13080;12982;12873;12800;12781;12899;13013;12969;12878;12873;13188;13462;0.0;0.0;0.0;490.26890506611204;37.1415837171297;66.85485069083346;37.1415837171297;22.28495023027782;661.1201901649086;22.28495023027782;126.28138463824097;126.28138463824097;0.0;0.0;7.42831674342594
arambare;4300851;0;0;0;61;12;2;3;1;31;4;19;5;0;0;0;-30.9093;-51.5046;3770;3768;3781;3868;3847;3858;3857;3905;3877;3880;3880;3920;0.0;0.0;0.0;1556.1224489795918;306.1224489795918;51.02040816326531;76.53061224489795;25.510204081632654;790.8163265306122;102.04081632653062;484.6938775510204;127.55102040816325;0.0;0.0;0.0
ararica;4300877;1;1;0;81;6;3;3;1;45;2;28;10;0;0;1;-29.6168;-50.92909999999;4969;4990;5178;5309;5472;5542;5663;5701;5811;5935;6039;6189;16.157699143641945;16.157699143641945;0.0;1308.7736306349975;96.94619486185168;48.47309743092584;48.47309743092584;16.157699143641945;727.0964614638876;32.31539828728389;452.4155760219745;161.57699143641946;0.0;0.0;16.157699143641945
aratiba;4300901;0;0;0;25;0;1;0;0;19;3;1;0;0;0;0;-27.3978;-52.29749999999;6688;6841;6824;6832;6658;6657;6536;6526;6507;6677;6659;6764;0.0;0.0;0.0;369.60378474275575;0.0;14.784151389710232;0.0;0.0;280.8988764044944;44.352454169130695;14.784151389710232;0.0;0.0;0.0;0.0
arroio do meio;4301008;2;2;0;161;0;10;9;2;168;9;69;17;0;0;2;-29.40139999999;-51.9557;19146;19235;19626;19726;20257;20467;20918;21012;21528;21927;22565;23133;8.645657718410927;8.645657718410927;0.0;695.9754463320797;0.0;43.228288592054646;38.905459732849174;8.645657718410927;726.235248346518;38.905459732849174;298.275191285177;73.48809060649289;0.0;0.0;8.645657718410927
arroio do padre;4301073;0;0;0;12;3;0;1;0;10;1;0;0;0;0;0;-31.4316;-52.41709999999;2781;2798;2815;2765;2738;2798;2821;2841;2784;2788;2843;2949;0.0;0.0;0.0;406.9175991861648;101.7293997965412;0.0;33.909799932180405;0.0;339.097999321804;33.909799932180405;0.0;0.0;0.0;0.0;0.0
arroio do sal;4301057;2;2;1;296;2;23;7;0;114;5;26;40;1;0;4;-29.5439;-49.88949999999;7902;8150;8286;8528;8828;9285;9582;9854;10093;10185;10416;10598;18.87148518588413;18.87148518588413;9.435742592942065;2792.979807510851;18.87148518588413;217.02207963766747;66.05019815059445;0.0;1075.6746555953955;47.17871296471032;245.3293074164937;377.42970371768257;9.435742592942065;0.0;37.74297037176826
arroio do tigre;4301206;1;1;0;68;13;8;1;0;60;6;4;9;0;0;2;-29.3348;-53.0966;12914;12834;12810;12560;12523;12711;12967;13134;13068;12998;12744;12704;7.871536523929471;7.871536523929471;0.0;535.2644836272041;102.32997481108312;62.97229219143577;7.871536523929471;0.0;472.2921914357683;47.22921914357683;31.486146095717885;70.84382871536523;0.0;0.0;15.743073047858942
arroio dos ratos;4301107;1;1;0;93;4;3;5;1;68;14;45;47;0;0;1;-30.0875;-51.72749999999;13891;13849;13703;13803;13869;14085;14148;14183;14201;14260;14489;14616;6.841817186644773;6.841817186644773;0.0;636.2889983579639;27.367268746579093;20.525451559934318;34.20908593322386;6.841817186644773;465.2435686918446;95.78544061302682;307.8817733990148;321.56540777230435;0.0;0.0;6.841817186644773
